TRIMESTRE,CHRONIQUE,DR,mean_1,median_1,p5_1,p10_1,p25_1,p75_1,p90_1,p95_1,mean_2,median_2,p5_2,p10_2,p25_2,p75_2,p90_2,p95_2,mean_3,median_3,p5_3,p10_3,p25_3,p75_3,p90_3,p95_3,mean_4,median_4,p5_4,p10_4,p25_4,p75_4,p90_4,p95_4,mean_5,median_5,p5_5,p10_5,p25_5,p75_5,p90_5,p95_5,mean_6,median_6,p5_6,p10_6,p25_6,p75_6,p90_6,p95_6,mean_7,median_7,p5_7,p10_7,p25_7,p75_7,p90_7,p95_7,mean_8,median_8,p5_8,p10_8,p25_8,p75_8,p90_8,p95_8,CD_TY_CLI_RCI_1,CD_TY_CLI_RCI_2,CD_ETA_CIV_1,CD_ETA_CIV_2,CD_MOD_HABI_1,CD_MOD_HABI_2,CD_PROF_1,CD_PROF_2,CD_PROF_3,CD_QUAL_VEH_1,CD_QUAL_VEH_2,dtf_per_trt,PIB,Inflation,Tx_cho
2008Q4,CHR2,0.30%,0.99484309,0.99519155,0.99208063,0.99252968,0.99369126,0.99625907,0.99686183,0.99702259,495,428,164,215,296,662,869,976,19,21,2,2,9,26,30,30,6,5,-3,-1,1,7,9,12,786008,739254,51392,111171,275370,1157353,1535001,1786452,0.0000014,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.2735659,0.3125000,0.0166667,0.0204082,0.0270270,0.4375000,0.5500000,0.6500000,0.2738111987,0.2307692308,-0.309994426,0,0.0927717042,0.4897959184,0.8014472291,0.8481012658,0.533%,99.467%,36.926%,63.074%,27.246%,72.754%,7.085%,35.122%,57.793%,39.213%,60.787%,Q42008,497736,1.760576189,7.8
2008Q4,CHR8,19.24%,0.94569391,0.95396814,0.87088877,0.89024642,0.92474267,0.97602398,0.99022910,0.99479265,147,92,16,21,46,164,301,478,33,26,9,9,16,46,67,77,58,46,6,7,15,80,112,138,877438,848259,65458,178644,475650,1199318,1559919,1843421,0.0074997,0.0062893,0.0000000,0.0016940,0.0034602,0.0103093,0.0149780,0.0186047,0.1129270,0.0612245,0.0000000,0.0000000,0.0166667,0.1500000,0.2972973,0.4285714,0.0904734674,0.0967741935,-0.132710971,0,0,0.1638797348,0.3000109613,0.464961198,4.827%,95.173%,64.012%,35.988%,67.925%,32.075%,18.176%,54.180%,27.644%,54.851%,45.149%,Q42008,497736,1.760576189,7.8
2008Q4,Totale,2.40%,0.97511402,0.99381902,0.90917310,0.94077331,0.97835811,0.99813277,0.99922394,0.99953871,563,291,30,51,107,742,1402,1965,653,276,16,26,56,991,1791,2351,219,49,5,6,9,153,611,1165,728512,644592,47750,101062,250182,1080543,1473114,1738923,0.0010929,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0035842,0.0079365,0.1553287,0.0833333,0.0000000,0.0166667,0.0327869,0.2166667,0.4166667,0.5416667,0.2797729641,0.1923076923,-0.049377961,0,0.0300745489,0.5429346863,0.7995456368,0.8461538462,4.511%,95.489%,41.879%,58.121%,34.329%,65.671%,10.289%,37.072%,52.639%,45.114%,54.886%,Q42008,497736,1.760576189,7.8
2009Q1,CHR2,0.25%,0.99478210,0.99519150,0.99209688,0.99257854,0.99369442,0.99627469,0.99686183,0.99702544,515,467,182,202,254,660,918,1066,17,15,6,6,11,26,29,29,5,5,-1,0,1,6,9,13,787928,740867,54512,123439,300091,1145193,1520862,1775100,0.0000014,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.2597931,0.2988946,0.0166667,0.0204082,0.0274024,0.4000000,0.5333333,0.6166667,0.2763666327,0.2318625016,-0.260346816,0,0.1,0.4809697232,0.7921718046,0.8425692695,0.501%,99.499%,35.910%,64.090%,26.187%,73.813%,6.823%,34.280%,58.897%,37.666%,62.334%,Q12009,489227,0.624887123,8.6
2009Q1,CHR8,14.36%,0.94778666,0.95641713,0.87088877,0.89332847,0.92744727,0.97898765,0.99173514,0.99565583,136,78,11,15,39,152,294,441,31,26,6,6,11,43,70,78,57,49,6,7,15,83,111,132,873307,841222,73833,179502,479087,1181337,1546179,1843618,0.0074860,0.0062035,0.0000000,0.0016826,0.0034130,0.0102389,0.0152672,0.0188679,0.1126933,0.0625000,0.0000000,0.0000000,0.0166667,0.1500000,0.2972973,0.4098361,0.0980333376,0.1,-0.115865041,0,0,0.16388,0.3076923077,0.4868595198,5.147%,94.853%,62.686%,37.314%,65.355%,34.645%,17.730%,53.290%,28.980%,54.393%,45.607%,Q12009,489227,0.624887123,8.6
2009Q1,Totale,1.98%,0.97548780,0.99391019,0.91085992,0.94196627,0.97866054,0.99815480,0.99921294,0.99953092,563,279,21,43,106,737,1436,2014,642,264,11,26,60,949,1801,2359,234,55,5,6,10,170,667,1235,728554,648857,50248,107515,257285,1066920,1456722,1725643,0.0011502,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0038023,0.0083011,0.1521602,0.0833333,0.0000000,0.0000000,0.0273973,0.2162162,0.4081633,0.5416667,0.2828468066,0.1994816282,0,0,0.0469165829,0.5390040299,0.7916666667,0.8412698413,4.352%,95.648%,41.001%,58.999%,33.479%,66.521%,9.935%,36.397%,53.669%,43.663%,56.337%,Q12009,489227,0.624887123,8.6
2009Q2,CHR2,0.26%,0.99479856,0.99517627,0.99210853,0.99259131,0.99369126,0.99627548,0.99686408,0.99703803,575,494,243,273,363,716,1066,1121,16,15,5,5,5,26,28,28,7,6,0,0,2,7,11,16,786537,734229,63414,130995,323419,1133081,1512585,1771888,0.0000009,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.2901499,0.3145834,0.0166667,0.0208333,0.0342971,0.4110361,0.5833333,0.6333333,0.2798716986,0.2364369007,-0.189225423,0,0.1017960645,0.4706208065,0.7810218978,0.8376842949,0.489%,99.511%,36.230%,63.770%,26.033%,73.967%,6.692%,34.635%,58.673%,37.230%,62.770%,Q22009,488744,-0.206626291,9.133333333
2009Q2,CHR8,14.18%,0.94964701,0.95820136,0.87372901,0.89653278,0.92921185,0.98014267,0.99227452,0.99578339,134,85,13,17,41,155,279,411,31,25,5,5,8,46,64,81,59,52,6,7,19,86,114,135,867395,834270,90080,197037,490251,1157035,1527097,1809352,0.0076209,0.0062598,0.0000000,0.0018132,0.0034632,0.0104239,0.0155039,0.0191507,0.1211066,0.0666667,0.0000000,0.0000000,0.0204082,0.1666667,0.3055556,0.4324324,0.1039061349,0.1,-0.018333723,0,0,0.1678227791,0.3066257387,0.4858657244,5.384%,94.616%,62.811%,37.189%,64.054%,35.946%,17.525%,53.431%,29.044%,53.479%,46.521%,Q22009,488744,-0.206626291,9.133333333
2009Q2,Totale,1.90%,0.97553775,0.99382807,0.91203289,0.94206098,0.97837730,0.99814750,0.99921040,0.99951637,576,288,20,41,106,746,1481,2085,685,324,12,25,64,1009,1872,2429,244,62,5,6,10,180,698,1281,725474,646542,54479,115953,268906,1051729,1446145,1722820,0.0011704,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0039194,0.0085227,0.1532405,0.0833333,0.0000000,0.0000000,0.0277778,0.2162162,0.4081633,0.5500000,0.2861058714,0.2012222725,0,0,0.0694130799,0.5356552772,0.7841726619,0.8358862144,4.274%,95.726%,41.263%,58.737%,33.516%,66.484%,9.861%,36.669%,53.469%,43.130%,56.870%,Q22009,488744,-0.206626291,9.133333333
2009Q3,CHR2,0.26%,0.99479559,0.99514714,0.99210343,0.99258725,0.99367946,0.99627254,0.99686183,0.99702543,553,552,133,365,409,632,803,1040,15,15,5,5,5,23,30,30,8,6,0,1,4,7,12,16,777256,718643,62521,125361,320009,1118992,1510580,1776162,0.0000006,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.3545473,0.3401361,0.0166667,0.0277778,0.2833333,0.5000000,0.5833333,0.6333333,0.2860549168,0.2442645074,-0.042799225,0,0.108656284,0.4676230483,0.7743173099,0.8338962405,0.492%,99.508%,35.744%,64.256%,25.371%,74.629%,6.602%,34.203%,59.195%,36.699%,63.301%,Q32009,489557,-0.42324655,9.166666667
2009Q3,CHR8,15.20%,0.95088145,0.95863796,0.87780861,0.90145580,0.93066962,0.98002610,0.99218584,0.99565326,129,82,13,15,41,148,274,380,30,23,5,5,9,41,65,82,59,52,6,7,19,85,112,135,872351,838602,99669,210199,506695,1147873,1521460,1808594,0.0078672,0.0065147,0.0009519,0.0019815,0.0036232,0.0106952,0.0158589,0.0196078,0.1237793,0.0694444,0.0000000,0.0000000,0.0208333,0.1666667,0.3166667,0.4324324,0.1051406512,0.1,0,0,0,0.1774374469,0.3012923608,0.448,5.428%,94.572%,62.368%,37.632%,63.926%,36.074%,17.480%,53.577%,28.942%,53.293%,46.707%,Q32009,489557,-0.42324655,9.166666667
2009Q3,Totale,1.88%,0.97586000,0.99382807,0.91326913,0.94236377,0.97844156,0.99818153,0.99921746,0.99951637,588,303,20,41,103,756,1533,2146,749,411,13,23,77,1109,1969,2527,253,65,5,6,10,191,727,1328,717783,634839,54479,107924,269788,1038181,1444098,1733956,0.0011899,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0040889,0.0086817,0.1549548,0.0833333,0.0000000,0.0136986,0.0277778,0.2166667,0.4166667,0.5500000,0.293248426,0.2079002079,0,0,0.0947724046,0.5417888563,0.782008429,0.8333333333,4.160%,95.840%,40.991%,59.009%,33.097%,66.903%,9.696%,36.432%,53.872%,42.542%,57.458%,Q32009,489557,-0.42324655,9.166666667
2009Q4,CHR2,0.25%,0.99478921,0.99512622,0.99210126,0.99259131,0.99366532,0.99626600,0.99686035,0.99701303,556,588,10,44,465,691,864,895,11,10,3,3,3,16,24,24,6,6,1,1,2,7,10,13,782021,718194,69270,130055,339519,1114743,1523619,1796635,0.0000004,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.4073357,0.3979167,0.0166667,0.0204082,0.2875000,0.5305556,0.8378378,1.0000000,0.2918203936,0.2474918486,0,0,0.12,0.4595561836,0.7619047619,0.8285714286,0.444%,99.556%,35.551%,64.449%,24.648%,75.352%,6.531%,33.860%,59.609%,35.228%,64.772%,Q42009,492638,0.36461126,9.533333333
2009Q4,CHR8,15.25%,0.95017754,0.95792452,0.87928535,0.90150147,0.93077916,0.97918635,0.99161589,0.99524846,131,87,16,21,36,154,281,386,30,24,3,3,10,44,66,80,58,51,6,7,16,84,112,134,864337,826318,96745,209134,510232,1135760,1525258,1820393,0.0078402,0.0065135,0.0000000,0.0019608,0.0036755,0.0106081,0.0157480,0.0195313,0.1246329,0.0810811,0.0000000,0.0000000,0.0277778,0.1666667,0.3055556,0.4210526,0.1070705261,0.1000173631,0,0,0,0.1783598488,0.3,0.4448346503,5.001%,94.999%,63.204%,36.796%,65.110%,34.890%,17.075%,54.603%,28.322%,52.926%,47.074%,Q42009,492638,0.36461126,9.533333333
2009Q4,Totale,1.86%,0.97665391,0.99388895,0.91567784,0.94380968,0.97896483,0.99820207,0.99923708,0.99952656,597,304,21,41,107,757,1553,2182,783,467,16,31,80,1152,2035,2578,261,66,5,6,10,199,759,1379,716825,632637,58056,111404,280138,1029350,1445765,1745339,0.0011615,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0039526,0.0085256,0.1559360,0.0833333,0.0000000,0.0138889,0.0277778,0.2166667,0.4166667,0.5500000,0.3019577807,0.2181818182,0,0,0.1,0.5457199075,0.7777777778,0.8305084746,4.034%,95.966%,40.805%,59.195%,32.639%,67.361%,9.492%,36.277%,54.231%,41.086%,58.914%,Q42009,492638,0.36461126,9.533333333
2010Q1,CHR2,0.24%,0.99479364,0.99512302,0.99210861,0.99259758,0.99365461,0.99626856,0.99686183,0.99701433,643,627,345,370,435,761,962,1117,15,9,6,6,6,26,30,30,7,6,1,1,4,7,12,21,774782,707964,69270,132049,345333,1097045,1515253,1784585,0.0000004,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.3858034,0.3895833,0.0166667,0.0268708,0.2875000,0.5208334,0.6416667,0.7104167,0.2947816387,0.2474925151,0,0.0099498068,0.1275469534,0.4520547945,0.747694704,0.8201843111,0.436%,99.564%,36.032%,63.968%,24.411%,75.589%,6.525%,34.303%,59.172%,34.608%,65.392%,Q12010,495051,1.324574628,9.366666667
2010Q1,CHR8,15.08%,0.95083329,0.95852282,0.88015084,0.90216279,0.93148963,0.97944784,0.99175830,0.99521791,127,79,9,16,34,147,289,386,29,26,6,6,9,34,58,72,58,51,6,7,17,84,112,133,850006,810214,88063,206486,508984,1118099,1502007,1798863,0.0079627,0.0066924,0.0007819,0.0019743,0.0037175,0.0107130,0.0159363,0.0198171,0.1294917,0.0816327,0.0000000,0.0138889,0.0327869,0.1833333,0.3166667,0.4426230,0.111754035,0.1005840562,0,0,0.0000431872,0.1788953215,0.3012928079,0.4392982397,4.993%,95.007%,63.953%,36.047%,64.897%,35.103%,16.775%,54.612%,28.612%,51.801%,48.199%,Q12010,495051,1.324574628,9.366666667
2010Q1,Totale,1.84%,0.97748234,0.99391021,0.91801499,0.94504407,0.97926306,0.99820822,0.99925337,0.99953488,585,294,21,37,100,731,1515,2181,758,456,9,26,65,1112,2023,2588,253,63,5,6,10,187,715,1353,706748,623018,58556,112813,279244,1009070,1428383,1728098,0.0011293,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0037700,0.0083125,0.1578666,0.0833333,0.0000000,0.0138889,0.0277778,0.2222222,0.4166667,0.5555556,0.3082701192,0.2281112442,0,0,0.1,0.5481927711,0.7727272727,0.8264893002,3.931%,96.069%,41.268%,58.732%,32.650%,67.350%,9.399%,36.737%,53.865%,40.430%,59.570%,Q12010,495051,1.324574628,9.366666667
2010Q2,CHR2,0.25%,0.99482201,0.99507895,0.99209484,0.99257803,0.99361761,0.99625008,0.99685264,0.99700754,582,526,247,345,421,761,887,1045,14,9,5,5,5,23,30,30,7,6,-1,1,4,7,15,21,775694,702073,73627,137730,347041,1097161,1524699,1793526,0.0000004,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.3798839,0.3895833,0.0166667,0.0540541,0.2916667,0.5000000,0.6333333,0.6756757,0.2982584342,0.2493125934,0,0.0197229397,0.137755102,0.4461538462,0.7289238276,0.8116997238,0.453%,99.547%,36.491%,63.509%,24.067%,75.933%,6.627%,34.670%,58.703%,33.870%,66.130%,Q22010,498121,1.613594174,9.266666667
2010Q2,CHR8,15.58%,0.95151023,0.95888192,0.88226956,0.90412306,0.93220220,0.97952073,0.99183660,0.99542799,123,76,15,15,36,145,273,380,28,23,5,5,9,30,61,79,57,51,6,7,17,83,109,130,844158,797926,106492,228037,513251,1102969,1498247,1785363,0.0080745,0.0068027,0.0010989,0.0020747,0.0038132,0.0109290,0.0160550,0.0198570,0.1334075,0.0833333,0.0000000,0.0166667,0.0333333,0.1833333,0.3333333,0.4500000,0.1203604573,0.1020408163,0,0,0.0082735797,0.1794890478,0.3012927783,0.446396939,5.057%,94.943%,64.076%,35.924%,64.821%,35.179%,16.527%,54.855%,28.618%,50.845%,49.155%,Q22010,498121,1.613594174,9.266666667
2010Q2,Totale,1.84%,0.97751920,0.99381902,0.91896578,0.94539617,0.97916753,0.99820713,0.99925337,0.99953687,591,296,20,36,100,730,1542,2227,783,485,9,23,65,1147,2084,2654,255,63,5,6,10,187,714,1365,702707,615315,62561,117860,279244,1000000,1431240,1725932,0.0011084,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0037313,0.0082229,0.1587513,0.0833333,0.0000000,0.0138889,0.0333333,0.2222222,0.4166667,0.5510204,0.3141044016,0.2320266482,0,0,0.1010491277,0.5498372482,0.7679901697,0.8233007421,3.869%,96.131%,41.755%,58.245%,32.742%,67.258%,9.360%,37.199%,53.441%,39.584%,60.416%,Q22010,498121,1.613594174,9.266666667
2010Q3,CHR2,0.24%,0.99481915,0.99506622,0.99209484,0.99256652,0.99360182,0.99624518,0.99685203,0.99700754,550,525,204,217,397,651,979,1020,11,10,3,3,3,20,24,24,5,5,0,1,2,7,7,15,766816,687352,70251,134569,340631,1083960,1515780,1781467,0.0000006,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.3323511,0.3416667,0.0166667,0.0208333,0.1416667,0.5000000,0.6041667,0.6500000,0.3029226281,0.2529215359,0,0.0250334523,0.1481152337,0.4438264739,0.7196261682,0.8064516129,0.429%,99.571%,36.695%,63.305%,23.701%,76.299%,6.674%,34.766%,58.559%,33.799%,66.201%,Q32010,500437,1.543022467,9.166666667
2010Q3,CHR8,14.88%,0.95141394,0.95856852,0.88474170,0.90542403,0.93220220,0.97914371,0.99144878,0.99540762,127,80,15,20,36,148,268,385,28,24,3,3,10,41,62,77,56,49,6,7,16,82,108,127,835416,782174,113837,232891,513483,1086461,1495867,1764590,0.0080726,0.0068182,0.0008865,0.0020704,0.0037688,0.0109489,0.0159744,0.0195258,0.1334087,0.0833333,0.0000000,0.0166667,0.0333333,0.1833333,0.3333333,0.4489796,0.1222700478,0.102720891,0,0,0.0133360011,0.1793484169,0.3015075377,0.4392983086,4.736%,95.264%,63.673%,36.327%,64.997%,35.003%,16.481%,55.518%,28.001%,50.277%,49.723%,Q32010,500437,1.543022467,9.166666667
2010Q3,Totale,1.80%,0.97785911,0.99373322,0.91927374,0.94571432,0.97913957,0.99819196,0.99925337,0.99953773,596,297,20,41,107,745,1548,2242,813,518,15,24,77,1188,2135,2715,253,62,5,6,10,183,703,1361,694640,603683,57229,109935,270891,990735,1429472,1717024,0.0010949,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0036664,0.0081633,0.1591844,0.0833333,0.0000000,0.0163934,0.0333333,0.2235294,0.4166667,0.5510204,0.3176705377,0.2357712076,0,0,0.1036552293,0.5474885615,0.7654371665,0.8213222156,3.830%,96.170%,42.148%,57.852%,32.881%,67.119%,9.364%,37.563%,53.072%,39.454%,60.546%,Q32010,500437,1.543022467,9.166666667
2010Q4,CHR2,0.21%,0.99483022,0.99508475,0.99209484,0.99255692,0.99360365,0.99625996,0.99684835,0.99700754,548,524,199,263,346,699,960,1055,12,11,1,4,4,21,25,25,5,5,0,1,2,7,8,11,765330,676982,68968,134107,331349,1085244,1526577,1799023,0.0000006,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.3040895,0.3166667,0.0166667,0.0208333,0.0686937,0.4541667,0.6041667,0.6333333,0.3101719647,0.2566287997,0,0.0347179641,0.1562578261,0.4481327801,0.7172735409,0.805137865,0.435%,99.565%,35.212%,64.788%,22.132%,77.868%,6.457%,33.223%,60.320%,31.560%,68.440%,Q42010,503500,1.64191331,9.2
2010Q4,CHR8,14.92%,0.95088322,0.95803667,0.88512253,0.90509040,0.93157289,0.97868154,0.99136957,0.99525696,124,81,11,16,36,148,269,360,28,24,4,4,11,39,67,77,56,50,5,6,16,83,108,125,827666,769588,108966,230867,503373,1070949,1497915,1773150,0.0080731,0.0068621,0.0007252,0.0021164,0.0038168,0.0109091,0.0158557,0.0195531,0.1331864,0.0833333,0.0000000,0.0166667,0.0333333,0.1833333,0.3265306,0.4375000,0.1237158771,0.1040580499,0,0,0.0137348649,0.1797039604,0.2953937044,0.433427762,4.931%,95.069%,64.282%,35.718%,65.477%,34.523%,16.454%,54.982%,28.564%,49.869%,50.131%,Q42010,503500,1.64191331,9.2
2010Q4,Totale,1.66%,0.97847871,0.99390456,0.91954083,0.94614156,0.97944784,0.99821152,0.99925337,0.99953953,602,301,21,39,107,781,1563,2268,826,513,11,25,72,1213,2181,2766,252,62,4,6,10,183,692,1355,695345,600000,56669,109125,272836,991123,1443144,1724420,0.0010695,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0035762,0.0079365,0.1604714,0.0833333,0.0000000,0.0166667,0.0333333,0.2244898,0.4166667,0.5500000,0.3214396138,0.2390825819,0,0.0001049098,0.1063829787,0.5439256599,0.7627239293,0.8203592814,3.751%,96.249%,40.612%,59.388%,31.426%,68.574%,8.998%,36.165%,54.836%,37.165%,62.835%,Q42010,503500,1.64191331,9.2
2011Q1,CHR2,0.20%,0.99484695,0.99509963,0.99209484,0.99255870,0.99361354,0.99627551,0.99686035,0.99702642,608,604,52,310,465,773,1015,1055,15,16,1,6,6,21,24,24,6,6,1,2,4,7,10,12,757795,664869,70251,144810,323304,1075555,1513410,1785897,0.0000003,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.3840954,0.3819445,0.0166667,0.1333334,0.2972973,0.4666667,0.5770834,0.6734694,0.3164974547,0.2608695652,0,0.0566037736,0.1594412966,0.4545454545,0.7161898699,0.8027613412,0.431%,99.569%,36.473%,63.527%,22.142%,77.858%,6.745%,34.098%,59.157%,30.999%,69.001%,Q12011,508939,1.79615262,9.166666667
2011Q1,CHR8,14.82%,0.95055743,0.95805476,0.88439249,0.90388615,0.93152536,0.97877433,0.99116393,0.99529695,121,79,10,16,34,141,269,350,26,21,6,6,10,31,55,70,55,49,6,6,17,82,107,124,827345,760275,105415,227651,503975,1073360,1518365,1770531,0.0081566,0.0069252,0.0008772,0.0021164,0.0038610,0.0110396,0.0160932,0.0196560,0.1330072,0.0833333,0.0138889,0.0166667,0.0333333,0.1833333,0.3243243,0.4426230,0.1314378356,0.1068804552,0,0,0.0204323598,0.1803937362,0.3012925063,0.4342581423,4.956%,95.044%,64.128%,35.872%,64.345%,35.655%,16.327%,54.301%,29.373%,48.422%,51.578%,Q12011,508939,1.79615262,9.166666667
2011Q1,Totale,1.70%,0.97839391,0.99378820,0.91896578,0.94536780,0.97913487,0.99819100,0.99925337,0.99953871,606,304,21,38,106,784,1567,2287,824,476,10,24,65,1212,2207,2790,249,61,4,6,9,178,681,1341,694520,597724,57229,116720,276805,985609,1441227,1717767,0.0010443,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0034335,0.0078125,0.1606439,0.0833333,0.0000000,0.0166667,0.0333333,0.2244898,0.4166667,0.5500000,0.3240249,0.2445113404,0,0.0057803468,0.1087695445,0.5392242219,0.7597539881,0.8189007274,3.747%,96.253%,41.830%,58.170%,31.994%,68.006%,9.250%,37.241%,53.509%,36.896%,63.104%,Q12011,508939,1.79615262,9.166666667
2011Q2,CHR2,0.18%,0.99482402,0.99506667,0.99209403,0.99253034,0.99359667,0.99626371,0.99684434,0.99700754,515,461,79,160,365,705,880,1006,13,13,3,3,3,20,24,24,6,6,1,2,3,8,11,13,756978,653991,76423,149633,307473,1079849,1525405,1802449,0.0000006,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.3718687,0.3631757,0.0208333,0.0576393,0.2576531,0.4765766,0.5889640,0.7232545,0.3196652201,0.2638797148,0,0.0625,0.162078307,0.4577881204,0.7163172864,0.8024561288,0.462%,99.538%,37.234%,62.766%,22.043%,77.957%,6.918%,34.525%,58.558%,30.921%,69.079%,Q22011,508710,2.065767285,9.1
2011Q2,CHR8,15.54%,0.95027482,0.95797176,0.88487756,0.90316353,0.93066955,0.97874809,0.99114062,0.99525696,122,80,10,16,36,140,268,350,27,20,3,3,10,36,59,76,55,49,6,7,14,81,107,123,821804,752515,106535,229454,491946,1080073,1501087,1759365,0.0081157,0.0069156,0.0000000,0.0020243,0.0038610,0.0110396,0.0159046,0.0195122,0.1329897,0.0833333,0.0166667,0.0166667,0.0333333,0.1833333,0.3225806,0.4333333,0.135437153,0.1080002158,0,0,0.0216825672,0.1811024335,0.3043530495,0.4358627904,4.534%,95.466%,64.839%,35.161%,63.977%,36.023%,16.884%,54.838%,28.278%,48.659%,51.341%,Q22011,508710,2.065767285,9.1
2011Q2,Totale,1.73%,0.97842006,0.99363224,0.91822719,0.94471579,0.97869677,0.99814390,0.99925337,0.99953871,605,309,20,41,107,780,1553,2288,815,436,10,24,59,1218,2201,2789,244,59,4,6,10,174,660,1313,696979,594237,65827,125329,271583,989955,1451470,1725169,0.0010293,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0033925,0.0077220,0.1602347,0.0972222,0.0000000,0.0166667,0.0333333,0.2244898,0.4166667,0.5416667,0.3243668249,0.2463964519,0,0.0099765551,0.1099827694,0.5333745604,0.757212803,0.8181818182,3.749%,96.251%,42.430%,57.570%,32.221%,67.779%,9.393%,37.714%,52.892%,36.982%,63.018%,Q22011,508710,2.065767285,9.1
